DATE,NORCPIALLMINMEI
1980-01-01,27.3666666666666667
1980-04-01,28.3333333333333333
1980-07-01,29.2333333333333333
1980-10-01,29.9000000000000000
1981-01-01,31.4000000000000000
1981-04-01,32.3000000000000000
1981-07-01,33.2000000000000000
1981-10-01,33.6000000000000000
1982-01-01,35.1333333333333333
1982-04-01,35.8666666666666667
1982-07-01,36.8000000000000000
1982-10-01,37.5000000000000000
1983-01-01,38.5666666666666667
1983-04-01,39.1333333333333333
1983-07-01,39.6666666666666667
1983-10-01,40.2333333333333333
1984-01-01,41.0000000000000000
1984-04-01,41.6666666666666667
1984-07-01,42.1000000000000000
1984-10-01,42.6333333333333333
1985-01-01,43.3333333333333333
1985-04-01,44.0666666666666667
1985-07-01,44.5333333333333333
1985-10-01,45.0333333333333333
1986-01-01,45.8333333333333333
1986-04-01,46.7333333333333333
1986-07-01,48.1000000000000000
1986-10-01,49.0000000000000000
1987-01-01,50.4000000000000000
1987-04-01,51.2666666666666667
1987-07-01,51.9000000000000000
1987-10-01,52.6333333333333333
1988-01-01,53.9666666666666667
1988-04-01,54.8666666666666667
1988-07-01,55.3333333333333333
1988-10-01,55.8000000000000000
1989-01-01,56.5000000000000000
1989-04-01,57.4333333333333333
1989-07-01,57.8333333333333333
1989-10-01,58.2000000000000000
1990-01-01,58.9666666666666667
1990-04-01,59.6333333333333333
1990-07-01,60.0333333333333333
1990-10-01,60.8333333333333333
1991-01-01,61.2666666666666667
1991-04-01,61.9000000000000000
1991-07-01,62.1333333333333333
1991-10-01,62.4000000000000000
1992-01-01,62.7000000000000000
1992-04-01,63.4000000000000000
1992-07-01,63.5666666666666667
1992-10-01,63.8000000000000000
1993-01-01,64.3333333333333333
1993-04-01,64.9333333333333333
1993-07-01,64.9333333333333333
1993-10-01,65.0666666666666667
1994-01-01,65.1333333333333333
1994-04-01,65.5666666666666667
1994-07-01,65.9333333333333333
1994-10-01,66.2000000000000000
1995-01-01,66.8666666666666667
1995-04-01,67.3333333333333333
1995-07-01,67.4666666666666667
1995-10-01,67.6333333333333333
1996-01-01,67.4666666666666667
1996-04-01,68.0000000000000000
1996-07-01,68.4000000000000000
1996-10-01,68.8333333333333333
1997-01-01,69.5333333333333333
1997-04-01,69.8333333333333333
1997-07-01,69.9666666666666667
1997-10-01,70.3666666666666667
1998-01-01,71.0333333333333333
1998-04-01,71.4000000000000000
1998-07-01,71.5666666666666667
1998-10-01,72.0000000000000000
1999-01-01,72.6333333333333333
1999-04-01,73.1666666666666667
1999-07-01,73.0333333333333333
1999-10-01,73.9333333333333333
2000-01-01,74.7333333333333333
2000-04-01,75.3000000000000000
2000-07-01,75.5333333333333333
2000-10-01,76.2333333333333333
2001-01-01,77.3666666666666667
2001-04-01,78.2666666666666667
2001-07-01,77.4666666666666667
2001-10-01,77.7666666666666667
2002-01-01,78.1666666666666667
2002-04-01,78.6333333333333333
2002-07-01,78.5666666666666667
2002-10-01,79.5000000000000000
2003-01-01,81.7666666666666667
2003-04-01,80.4000000000000000
2003-07-01,80.0666666666666667
2003-10-01,80.4666666666666667
2004-01-01,80.6000000000000000
2004-04-01,81.0666666666666667
2004-07-01,81.0333333333333333
2004-10-01,81.4666666666666667
2005-01-01,81.4000000000000000
2005-04-01,82.3000000000000000
2005-07-01,82.4666666666666667
2005-10-01,82.9666666666666667
2006-01-01,83.2333333333333333
2006-04-01,84.2666666666666667
2006-07-01,84.3000000000000000
2006-10-01,85.0000000000000000
2007-01-01,84.0666666666666667
2007-04-01,84.5333333333333333
2007-07-01,84.4333333333333333
2007-10-01,86.1666666666666667
2008-01-01,87.0333333333333333
2008-04-01,87.2666666666666667
2008-07-01,88.4000000000000000
2008-10-01,89.2333333333333333
2009-01-01,89.1666666666666667
2009-04-01,90.0000000000000000
2009-07-01,90.0000000000000000
2009-10-01,90.5000000000000000
2010-01-01,91.8000000000000000
2010-04-01,92.3333333333333333
2010-07-01,91.6666666666666667
2010-10-01,92.5666666666666667
2011-01-01,93.0666666666666667
2011-04-01,93.6666666666666667
2011-07-01,93.0333333333333333
2011-10-01,93.3333333333333333
2012-01-01,93.8333333333333333
2012-04-01,94.0333333333333333
2012-07-01,93.3666666666666667
2012-10-01,94.4666666666666667
2013-01-01,95.0000000000000000
2013-04-01,95.8666666666666667
2013-07-01,96.1666666666666667
2013-10-01,96.6333333333333333
2014-01-01,97.0000000000000000
2014-04-01,97.6666666666666667
2014-07-01,98.2333333333333333
2014-10-01,98.6000000000000000
2015-01-01,98.9000000000000000
2015-04-01,99.8333333333333333
2015-07-01,100.2000000000000000
2015-10-01,101.0666666666666667
2016-01-01,102.0333333333333333
2016-04-01,103.3000000000000000
2016-07-01,104.2000000000000000
2016-10-01,104.6666666666666667
2017-01-01,104.6666666666666667
2017-04-01,105.4666666666666667
2017-07-01,105.7666666666666667
2017-10-01,106.0666666666666667
2018-01-01,106.7666666666666667
2018-04-01,108.0000000000000000
2018-07-01,109.2333333333333333
2018-10-01,109.6333333333333333
2019-01-01,109.9666666666666667
2019-04-01,110.6333333333333333
2019-07-01,111.0333333333333333
2019-10-01,111.4000000000000000
2020-01-01,111.2333333333333333
2020-04-01,111.9000000000000000
2020-07-01,112.7666666666666667
2020-10-01,112.8333333333333333
2021-01-01,114.5333333333333333
2021-04-01,115.0666666666666667
2021-07-01,116.7000000000000000
2021-10-01,118.0666666666666667
2022-01-01,118.9000000000000000
2022-04-01,121.7666666666666667
